"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 20","23.20","22.77","23.26","22.33","","3.25%"
"2023- 10- 19","22.47","22.40","22.62","21.93","","7.00%"
"2023- 10- 18","21.00","21.09","21.57","20.87","","-0.71%"
"2023- 10- 17","21.15","20.97","21.38","20.82","","-3.42%"
"2023- 10- 16","21.90","21.46","22.29","21.10","","4.43%"
"2023- 10- 13","20.97","20.50","21.23","20.30","","1.40%"
"2023- 10- 12","20.68","20.38","20.87","20.01","","0.05%"
"2023- 10- 11","20.67","20.68","20.89","20.20","","-1.99%"
"2023- 10- 10","21.09","20.88","21.46","20.54","","3.03%"
"2023- 10- 06","20.47","20.59","21.08","20.32","","-1.78%"
"2023- 10- 05","20.84","21.15","21.44","20.68","","-8.44%"
"2023- 10- 04","22.76","22.19","22.76","21.33","","12.12%"
"2023- 10- 03","20.30","19.62","20.50","19.60","","7.52%"
"2023- 10- 02","18.88","18.20","19.28","18.13","","2.61%"
"2023- 09- 29","18.40","18.45","19.05","18.28","","-2.18%"
"2023- 09- 28","18.81","18.13","19.49","17.99","","3.81%"
"2023- 09- 27","18.12","18.95","19.07","18.04","","-0.55%"
"2023- 09- 26","18.22","17.33","18.31","17.32","","3.46%"
"2023- 09- 25","17.61","17.68","18.10","17.48","","-1.23%"
"2023- 09- 22","17.83","19.32","19.47","17.58","","-2.30%"
"2023- 09- 21","18.25","17.72","18.44","17.26","","5.74%"
"2023- 09- 20","17.26","17.03","17.43","17.03","","2.01%"
"2023- 09- 19","16.92","16.80","17.09","16.76","","5.82%"
"2023- 09- 15","15.99","15.93","16.57","15.80","","-0.50%"
"2023- 09- 14","16.07","16.05","16.30","15.78","","-2.49%"
"2023- 09- 13","16.48","16.16","16.58","16.02","","1.54%"
"2023- 09- 12","16.23","16.38","16.47","16.10","","-3.96%"
"2023- 09- 11","16.90","17.08","17.67","16.90","","-1.97%"
"2023- 09- 08","17.24","17.98","18.85","17.18","","-3.63%"
"2023- 09- 07","17.89","18.09","18.46","17.31","","4.38%"
"2023- 09- 06","17.14","18.08","18.10","16.73","","-2.39%"
"2023- 09- 05","17.56","17.50","17.84","17.35","","2.45%"
"2023- 09- 04","17.14","16.87","17.28","16.69","","1.66%"
"2023- 09- 01","16.86","16.94","16.98","16.55","","-0.18%"
"2023- 08- 31","16.89","17.31","17.32","16.74","","-4.79%"
"2023- 08- 30","17.74","17.67","17.96","17.55","","-1.44%"
"2023- 08- 29","18.00","17.82","18.05","17.71","","-2.12%"
"2023- 08- 28","18.39","18.46","18.61","18.12","","-2.60%"
"2023- 08- 25","18.88","18.83","19.01","18.17","","5.53%"
"2023- 08- 24","17.89","18.12","18.12","17.70","","-2.72%"
"2023- 08- 23","18.39","18.99","18.99","18.18","","-2.49%"
"2023- 08- 22","18.86","19.23","19.36","18.80","","-5.42%"
"2023- 08- 21","19.94","19.71","20.06","19.39","","2.15%"
"2023- 08- 18","19.52","20.31","20.45","19.21","","-0.20%"
"2023- 08- 17","19.56","19.74","20.57","19.42","","-2.05%"
"2023- 08- 16","19.97","19.71","20.15","19.28","","5.94%"
"2023- 08- 15","18.85","18.95","19.20","18.65","","-4.31%"
"2023- 08- 14","19.70","18.80","20.30","18.48","","2.44%"
"2023- 08- 10","19.23","20.03","20.10","19.20","","-3.99%"
"2023- 08- 09","20.03","20.11","20.41","19.67","","-0.50%"
"2023- 08- 08","20.13","20.01","20.47","19.63","","-1.18%"
"2023- 08- 07","20.37","21.40","21.70","20.34","","-2.35%"
"2023- 08- 04","20.86","21.31","21.42","20.16","","0.97%"
"2023- 08- 03","20.66","20.50","20.87","20.01","","5.89%"
"2023- 08- 02","19.51","18.30","19.68","18.28","","8.21%"
"2023- 08- 01","18.03","18.12","18.15","17.41","","-1.58%"
"2023- 07- 31","18.32","18.67","18.75","18.19","","-1.45%"
"2023- 07- 28","18.59","19.97","20.32","18.59","","-1.22%"
